Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Toronto,73.45,45.73,59.58,67.85,70.28,84.12
2,Vancouver,73.24,45.81,59.52,77.08,63.53,91.13
3,Red Deer,72.72,20.22,46.45,69.05,63.61,100.41
4,Burnaby,72.57,38.44,55.49,74.16,62.03,84
5,Fredericton,72.26,19.46,45.85,72.45,64.43,86.52
6,Victoria,71.98,35.95,53.95,75.38,63.77,81.41
7,Halifax,71.83,28.07,49.94,78,57.24,74.14
8,"Nanaimo, BC",71.65,25.94,48.78,77,63.38,56.8
9,Edmonton,70.64,24.7,47.65,67.36,65.52,90.72
10,Calgary,70.16,26.05,48.09,66,65.67,113.85
11,Saskatoon,69.55,22.5,46.01,64.58,62.53,91.53
12,Mississauga,69.38,38.87,54.11,66.47,57.06,97.74
13,Kelowna,68.21,30.71,49.45,64.66,63.44,88.39
14,Brampton,67.62,33.9,50.75,62.62,53.74,83.67
15,Ottawa,67.55,32.48,50.01,63.54,63.15,98.24
16,Coquitlam,67.26,38.63,52.93,71.36,49.75,82.23
17,Hamilton,66.75,26.35,46.54,66.5,56.27,89.67
18,Regina,66.4,24.42,45.4,67.07,56.6,88.25
19,Winnipeg,65.53,22.18,43.84,64.41,56.98,88.31
20,Montreal,64.97,25.72,45.33,68.04,55.7,91.03
21,Kitchener,64.87,26.85,45.85,60.11,60.16,87.68
22,Quebec City,62.7,16.36,39.51,66.11,51.23,90.48
23,London,62.43,24.98,43.69,58.46,57.43,92.84
