Rank,City,Crime Index,Safety Index
1,Red Deer,60.23,39.77
2,Surrey,60.03,39.97
3,Winnipeg,56.37,43.63
4,Regina,56.12,43.88
5,Brampton,55.15,44.85
6,Kelowna,49.7,50.3
7,Oshawa,49.53,50.47
8,Saskatoon,49.4,50.6
9,Hamilton,49.16,50.84
10,"Nanaimo, BC",47.1,52.9
11,London,46.57,53.43
12,Edmonton,42.58,57.42
13,Vaughan,42.46,57.54
14,Mississauga,41.93,58.07
15,Halifax,41.28,58.72
16,Moncton,40.89,59.11
17,Toronto,38.88,61.12
18,Kitchener,38.4,61.6
19,Vancouver,37.02,62.98
20,Windsor,35.55,64.45
21,Calgary,34.23,65.77
22,Victoria,33.4,66.6
23,Burlington,30.87,69.13
24,Guelph,30.51,69.49
25,Montreal,29.16,70.84
26,Oakville,28.2,71.8
27,Ottawa,25.81,74.19
28,Markham,22.07,77.93
29,Quebec City,15.27,84.73
